date_found,event_title,event_date,start_time,end_time,venue,district,address,category,source_name,source_url,confidence_score,notes
2026-09-05,Imagine,2026-09-05,10:00,19:00,Museo de Minerales Andres del Castillo,Cercado de Lima,"Jiron de la Union 1030, Cercado de Lima",Exposicion,EntradaLibre,https://entradalibre.me/event/imagine/,0.86,Muestra vigente del 4 al 25 de setiembre.
2026-09-05,El Rey de las Ranas,2026-09-05,10:40,,Mediateca de la Alianza Francesa La Molina,La Molina,Av. Javier Prado Este 5595,Libro infantil,Heptagrama agenda cultural,https://heptagrama.com/agenda-cultural-lima.htm,0.83,Ingreso libre.
2026-09-05,Casa Warner Bros. experiencia inmersiva,2026-09-05,11:00,22:00,Explanada CC Plaza Norte,Independencia,Av. Alfredo Mendiola 1400,Experiencia inmersiva,Heptagrama agenda cultural,https://heptagrama.com/agenda-cultural-lima.htm,0.86,Evento familiar pagado; tambien figura en dias previos.
2026-09-05,Flotante,2026-09-05,11:00,,"Teatro Juan Julio Wicht, CC Universidad del Pacifico",Jesus Maria,Jr. Luis Sanchez Cerro 2121,Teatro inmersivo,Heptagrama agenda cultural,https://heptagrama.com/agenda-cultural-lima.htm,0.86,Funciones 11:00 y 12:00.
2026-09-05,El Pan que Nos Une,2026-09-05,11:30,,Auditorio del Britanico Surco,Santiago de Surco,Av. Caminos del Inca 3581,Teatro circo familiar,Heptagrama agenda cultural,https://heptagrama.com/agenda-cultural-lima.htm,0.84,Ingreso libre.
2026-09-05,Las Brujas en Paracas,2026-09-05,11:30,,Auditorio del Britanico San Juan de Lurigancho,San Juan de Lurigancho,Av. Proceres de la Independencia 1531,Narracion teatralizada,Heptagrama agenda cultural,https://heptagrama.com/agenda-cultural-lima.htm,0.84,Ingreso libre.
2026-09-05,Bebetheque: Lectura bilingue frances-espanol,2026-09-05,11:40,,Mediateca de la Alianza Francesa La Molina,La Molina,Av. Javier Prado Este 5595,Actividad familiar,Heptagrama agenda cultural,https://heptagrama.com/agenda-cultural-lima.htm,0.83,Ingreso libre; para ninos de 2 a 5 anos.
2026-09-05,Ruta de la Jarana,2026-09-05,13:00,15:00,Casa de la Cultura Criolla Rosa Mercedes Ayarza,Cercado de Lima,"Jiron Moquegua 376, Cercado de Lima",Musica/Cultura,EntradaLibre,https://entradalibre.me/event/ruta-de-la-jarana/,0.95,Ingreso libre con documento de identidad.
2026-09-05,"Danzas de la Costa, Sierra y Selva",2026-09-05,14:00,,Parque de la Muralla a Plazuela Teatro Segura,Cercado de Lima,Centro de Lima,Pasacalle,Heptagrama agenda cultural,https://heptagrama.com/agenda-cultural-lima.htm,0.84,Ingreso libre.
2026-09-05,Airosa,2026-09-05,15:00,,"Carpa La Tarumba, CC Cenco Lima Sur",Chorrillos,"Av. Paseo de la Republica 355, Urb. Matellini",Teatro/Circo,Heptagrama agenda cultural,https://heptagrama.com/agenda-cultural-lima.htm,0.83,"Funciones 15:00, 17:30 y 20:00."
