date_found,event_title,event_date,start_time,end_time,venue,district,address,category,source_name,source_url,confidence_score,notes
2026-09-11,EL EMBRUJO CROMATICO DEL NEOINDIGENISMO DE URBINA,2026-09-11,09:00,17:00,Sala Paracas del Ministerio de Cultura del Peru,San Borja,"Avenida Javier Prado Este 2465, San Borja, Lima, Peru",Exposicion/Pintura,EntradaLibre,https://entradalibre.me/event/el-embrujo-cromatico-del-neoindigenismo-de-urbina/,0.97,"Gratis; muestra vigente hasta el 27 de septiembre, martes a domingo."
2026-09-11,MUSEO NUMISMATICO DEL PERU,2026-09-11,09:00,17:00,Museo Numismatico del Peru,Cercado de Lima,"Jr. Junin 781, Cercado de Lima, Peru",Exposicion/Museo,EntradaLibre,https://entradalibre.me/event/museo-numismatico-del-peru-2025/,0.95,Evento vigente hasta el 31 de diciembre; horario publicado 9:00 a 17:00.
2026-09-11,10. BIENAL DE TIPOGRAFIA LATINOAMERICANA,2026-09-11,09:00,20:00,Toulouse Lautrec Chacarilla,Santiago de Surco,"Avenida Primavera 970, Santiago de Surco, Lima, Peru",Diseno/Exposicion,EntradaLibre,https://entradalibre.me/event/10-a-bienal-de-tipografia-latinoamericana/,0.97,Gratis con inscripcion previa; cierra el 12 de septiembre.
2026-09-11,ENTRE CLAUSTROS Y ACUARELAS,2026-09-11,09:00,,Cercado de Lima,Cercado de Lima,,Exposicion/Pintura,EntradaLibre,https://entradalibre.me/event/entre-claustros-y-acuarelas/,0.86,Listado en portada de EntradaLibre; venue exacto no visible en resumen capturado.
2026-09-11,LA POSIBILIDAD LATENTE DE UNA ERUPCION,2026-09-11,19:00,,Barranco,Barranco,,Exposicion/Pintura,EntradaLibre,https://entradalibre.me/event/el-embrujo-cromatico-del-neoindigenismo-de-urbina/,0.78,Encontrado como evento relacionado de EntradaLibre; requiere verificacion de venue.
2026-09-11,"RITOS, TRADICIONES Y ARTE",2026-09-12,15:00,,Barranco,Barranco,,Inauguracion/Pintura,EntradaLibre,https://entradalibre.me/event/el-embrujo-cromatico-del-neoindigenismo-de-urbina/,0.78,"Relacionado EntradaLibre; fecha y distrito publicados, venue no visible en captura."
2026-09-11,200 ANOS DE REBELDIA SILENCIOSA,2026-09-12,12:00,,San Juan de Lurigancho,San Juan de Lurigancho,,Exposicion/Pintura,EntradaLibre,https://entradalibre.me/event/el-embrujo-cromatico-del-neoindigenismo-de-urbina/,0.78,"Relacionado EntradaLibre; fecha y distrito publicados, venue no visible en captura."
2026-09-11,PIOLA FEST,2026-09-12,11:00,20:00,Piola Bags,Miraflores,"Calle Jose Galvez 401, Miraflores, Lima, Peru",Feria/Diseno,EntradaLibre,https://entradalibre.me/,0.88,Stickers gratis de artistas locales; portada EntradaLibre.
2026-09-11,CASA WARNER BROS. EXPERIENCIA INMERSIVA,2026-09-11,11:00,22:00,Explanada del Centro Comercial Plaza Norte,Independencia,"Av. Alfredo Mendiola 1400, cruce con Av. Tomas Valle, Independencia",Experiencia inmersiva/Familiar,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.92,Agenda semanal; tambien aparece varios dias de la semana.
2026-09-11,XVII FESTIVAL INTERNACIONAL DE GUITARRA CUERDAS AL AIRE - FIESTA DE LA GUITARRA,2026-09-11,19:30,,Centro Cultural Universidad Peruana Cayetano Heredia,Lima,,Musica/Conversatorio,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Ingreso libre; agenda indica conversatorio 11:00 y concierto 19:30.
2026-09-11,DIOGENES - CINE CLUB MAGIA Y MISTERIO DE LOS ANDES,2026-09-11,17:00,,Sala Armando Robles Godoy del Museo de la Nacion,San Borja,"Av. Javier Prado Este 2465, San Borja",Cine,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.9,Funciones 17:00 y 19:00; ingreso libre.
2026-09-11,LA ENERGIA DE TU HOGAR - PRESENTACION DE LIBRO,2026-09-11,19:30,,Casa Pausa,Miraflores,"Calle General Suarez 955, Miraflores",Literatura/Presentacion,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Presentacion y firma de Frank Mendizabal; ingreso libre.
2026-09-11,EL LAGO DE LOS CISNES - BALLET MUNICIPAL DE LIMA,2026-09-11,20:00,,Teatro Municipal de Lima,Cercado de Lima,"Jr. Ica 377, Cercado de Lima",Danza/Musica,Teleticket,https://teleticket.com.pe/,0.97,Temporada del 11 de septiembre al 3 de octubre; confirmado tambien por Heptagrama para funciones del fin de semana.
2026-09-11,MAMMA MIA! HOMENAJE AL GRUPO ABBA,2026-09-11,20:00,,Teatro Peruano Japones,Jesus Maria,"Av. Gregorio Escobedo 803, Residencial San Felipe, Jesus Maria",Teatro musical,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.9,Agenda Heptagrama con funcion nocturna; Teleticket suele vender esta temporada.
2026-09-11,DOMINGA,2026-09-11,20:00,,Teatro Julieta,Miraflores,"Pasaje Porta 132, Miraflores",Teatro,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.9,Funcion 20:00; tambien stand-up Por la Sara a las 22:30 en la misma sala.
2026-09-11,POR LA SARA,2026-09-11,22:30,,Teatro Julieta,Miraflores,"Pasaje Porta 132, Miraflores",Stand-up,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Stand-up comedy a cargo de El Cacash.
2026-09-11,LA MUSICA DE TU VIDA - ONDA ROCK,2026-09-11,20:00,,Cocodrilo Verde,Miraflores,"Calle Francisco de Paula Camino 226, Miraflores",Musica,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.9,"Rock y pop 70s, 80s y 90s."
2026-09-11,TU MEJOR FIESTA - FREDY CORAL & ORQUESTA,2026-09-11,23:00,,Cocodrilo Verde,Miraflores,"Calle Francisco de Paula Camino 226, Miraflores",Musica/Fiesta,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,"Merengue, cumbia, latin pop, salsa, disco y vallenato."
2026-09-11,EL JEFE DEL JEFE,2026-09-11,20:30,,Multiteatro Movistar,Santiago de Surco,"Av. Alfredo Benavides 4981, Santiago de Surco",Teatro,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.9,Funcion 20:30; adaptacion de The Boss of it All.
2026-09-11,EL METODO GRONHOLM,2026-09-11,20:30,,Teatro Claretiano,San Miguel,"Av. De Los Precursores 125, Urbanizacion Maranga, San Miguel",Teatro,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.9,Funcion 20:30 segun Heptagrama.
2026-09-11,TRIBUTO A ABBA Y ROXETTE,2026-09-11,20:30,,Sargento Pimienta Rock Bar,Barranco,"Av. Francisco Bolognesi 757, Barranco",Musica/Tributo,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Ingreso libre; Duli Moral & Banda con invitados.
2026-09-11,"FIESTA SALSA, DESCARGA & LATIN JAZZ",2026-09-11,21:00,,El Gato Tulipan,Barranco,"Bajada de Banos 350, Barranco",Musica/Fiesta,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,"Ingreso libre, salida a la gorra."
2026-09-11,CARTA / QUEBRADA - ESTOY BIEN,2026-09-11,21:00,,Vichama Rock Bar,Cercado de Lima,"Jr. Carabaya 954, frente a la Plaza San Martin, Cercado de Lima",Musica/Indie rock,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Con invitados Procrastinacion 1 Yo 0 y Cataratas en Siberia.
2026-09-11,FIESTA 1X1 ROCK & NEW WAVE,2026-09-11,21:00,,Union Central,Cercado de Lima,"Jr. Heroes de Tarapaca 177, altura Av. Brasil cdra. 1, Cercado de Lima",Musica/Fiesta,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.86,Dj Kike La Oveja; produccion Koca Kinto.
2026-09-11,AIROSA - LA TARUMBA,2026-09-12,15:00,,Carpa La Tarumba del C.C. Cenco Lima Sur,Chorrillos,"Av. Paseo de la Republica 355, Urb. Matellini, Chorrillos",Teatro/Circo,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.9,"Funciones 15:00, 17:30 y 20:00."
2026-09-11,CUMBIA SINFONICA 3.0,2026-09-12,15:00,,Gran Teatro Nacional,San Borja,"Av. Javier Prado Este 2225, cruce con Av. Aviacion, San Borja",Musica,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.92,Mauricio Mesones y El Viaje Tropical con orquesta; funciones 15:00 y 19:00.
2026-09-11,I.D.I.O.T.A.,2026-09-12,19:00,,Teatro de Lucia,Miraflores,"Calle Bellavista 512, Miraflores",Teatro,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Funcion sabado 19:00.
2026-09-11,LOS ENGANOS DE ESCAPIN,2026-09-12,19:00,,Auditorio Julio Ramon Ribeyro del Centro Cultural Ricardo Palma,Miraflores,"Av. Jose Larco 770, Miraflores",Teatro,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Funcion sabado 19:00.
2026-09-11,NO ME TOQUEN ESE VALSE,2026-09-12,20:00,,Casa Yuyachkani,Magdalena del Mar,"Jr. Tacna 363, Magdalena del Mar",Teatro,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Repertorio 55 aniversario de Yuyachkani.
2026-09-11,MUJERZOTAS,2026-09-12,20:00,,Teatro Esencia,Barranco,"Av. Miguel Grau 069-A, Barranco",Teatro,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Produccion La Banca Rota y Angularis Petram.
2026-09-11,BIBLIOTERAPIA: LA MAGIA Y EL SIMBOLO EN LOS CUENTOS,2026-09-11,,,Gran Biblioteca Publica de Lima,Cercado de Lima,"Av. Abancay cuadra 4, Cercado de Lima",Mediacion de lectura,BNP eventos,https://eventos.bnp.gob.pe/,0.84,Agenda BNP; hora no visible en el listado general.
2026-09-11,"LEO, JUEGO Y ME DIVIERTO. ACTIVIDAD LUDICA",2026-09-12,,,Gran Biblioteca Publica de Lima,Cercado de Lima,"Av. Abancay cuadra 4, Cercado de Lima",Mediacion de lectura,BNP eventos,https://eventos.bnp.gob.pe/,0.84,Agenda BNP; hora no visible en el listado general.
2026-09-11,CLUB DE LECTURA PARA ADOLESCENTES: EL ENIGMA DE NASCA,2026-09-12,,,Gran Biblioteca Publica de Lima,Cercado de Lima,"Av. Abancay cuadra 4, Cercado de Lima",Club de lectura,BNP eventos,https://eventos.bnp.gob.pe/,0.84,Rango 12-26 SEP; se registra proxima fecha desde hoy.
2026-09-11,LA HORA LECTORA EN BRENA,2026-09-11,,,Estacion de Biblioteca Publica - Brena,Brena,,Mediacion de lectura,BNP eventos,https://eventos.bnp.gob.pe/,0.82,Rango 11-18 SEP; hora no visible en listado.
2026-09-11,CREACION DE PERSONAJES FANTASTICOS EN PLASTILINA,2026-09-12,,,Estacion de Biblioteca Publica - Rimac,Rimac,,Taller,BNP eventos,https://eventos.bnp.gob.pe/,0.82,Rango 5-12 SEP; se conserva ultima fecha vigente.
